年份,生源地,科类,批次,院校名称,专业名称,专业备注,最低分,最低位次,最高分,平均分
2023,上海,综合,专科批,上海民远职业技术学院,自动化类,机电一体化技术,182,4715.0,0,182
2023,上海,综合,专科批,天津城市建设管理职业技术学院,自动化类,电气自动化技术,185,4660.0,0,185
2023,上海,综合,专科批,上海震旦职业学院,测绘地理信息类,无人机测绘技术,187,4625.0,0,187
2023,上海,综合,专科批,上海工商职业技术学院,道路运输类,新能源汽车检测与维修技术（高本贯通。三年后通过入学转段考生转入上海师范大学天华学院汽车服务工程专业。转段入学时以教育部批准的新校名为准，学费按转段入学时本科高校公布的收费标准为准）（嘉定校区）,187,4625.0,0,215
2023,上海,综合,专科批,上海行健职业学院,语言类,应用日语（动漫运营方向）,187,4625.0,0,218
2023,上海,综合,专科批,西安铁路职业技术学院,铁道运输类,铁道工程技术,187,4625.0,0,209
2023,上海,综合,专科批,上海邦德职业技术学院,财务会计类,大数据与会计,187,4625.0,0,202
2023,上海,综合,专科批,广州民航职业技术学院,旅游类,会展策划与管理（航空会展与酒店管理方向。因用人单位对考生身体素质有要求，身高低于172cm的男生、身高低于162cm的女生及色盲、色弱者慎报）（机场路校区）,187,4625.0,0,187
2023,上海,综合,专科批,广州民航职业技术学院,航空运输类,飞机电子设备维修（中外合作办学）（与加拿大卡纳多文理科学院合作。无色盲、色弱。因用人单位对考生身体素质有要求，女生慎报）（花都赤妮校区）（中外合作办学）,189,4578.0,0,189
2023,上海,综合,专科批,上海思博职业技术学院,机械设计制造类,数控技术（智能制造方向）,190,4559.0,0,197
2023,上海,综合,专科批,上海行健职业学院,电子商务类,电子商务,190,4559.0,0,213
2023,上海,综合,专科批,合肥职业技术学院,医学技术类,医学检验技术,191,4533.0,0,209
2023,上海,综合,专科批,苏州工业职业技术学院,计算机类,人工智能技术应用,191,4533.0,0,210
2023,上海,综合,专科批,上海行健职业学院,自动化类,机电一体化技术,192,4514.0,0,213
2023,上海,综合,专科批,上海出版印刷高等专科学校,新闻出版类,出版商务（中外合作办学）（文化媒介与版权经纪方向）（中外合作办学）,192,4514.0,0,210
2023,上海,综合,专科批,上海出版印刷高等专科学校,旅游类,会展策划与管理,192,4514.0,0,212
2023,上海,综合,专科批,江苏建筑职业技术学院,城市轨道交通类,城市轨道交通供配电技术,192,4514.0,0,209
2023,上海,综合,专科批,上海行健职业学院,道路运输类,汽车检测与维修技术,193,4497.0,0,203
2023,上海,综合,专科批,上海科学技术职业学院,电子商务类,网络营销与直播电商,193,4497.0,0,214
2023,上海,综合,专科批,天津生物工程职业技术学院,中医药类,中药材生产与加工（中药炮制与配制方向）,193,4497.0,0,193
2023,上海,综合,专科批,上海科学技术职业学院,汽车制造类,智能网联汽车技术,194,4469.0,0,222
2023,上海,综合,专科批,上海出版印刷高等专科学校,计算机类,移动应用开发,194,4469.0,0,212
2023,上海,综合,专科批,上海中侨职业技术大学,财务会计类,大数据与会计（涉外会计方向）,195,4441.0,0,210
2023,上海,综合,专科批,上海中侨职业技术大学,计算机类,计算机应用技术（人工智能方向）,195,4441.0,0,200
2023,上海,综合,专科批,上海中侨职业技术大学,食品类,食品质量与安全,195,4441.0,0,215
2023,上海,综合,专科批,上海科学技术职业学院,安全防范类,安全防范技术（集成技术与产品制造方向）,196,4410.0,0,217
2023,上海,综合,专科批,湖南大众传媒职业技术学院,广播影视类,新闻采编与制作,196,4410.0,0,215
