MBTI,source,专业名称,专业备注,人数count,分数score,平均分,年份,批次,支持度support,最低位次,最低分,最高分,生源地,科类,累计人数cum,组合/subject_combo,院校名称
,major_line_2023,经济学类,经济学类（拔尖学生培养基地。含经济学、经济学）（数理经济方向拔尖项目、经济学）（国际项目UIPE、金融学、国际经济与贸易）（国际经济学、国际经济与贸易）（大数据国际贸易双学位项目、财政学、保险学等专业。含与德国乌尔姆大学、美国威斯康辛大学“3+1+1”本硕直通车项目，与荷兰格罗宁根大学“2+2”双学位项目；含美国麻省理工学院、宾夕法尼亚大学、加州大学伯克利分校等校访学项目；含美国芝加哥大学、加州大学、新加坡国立大学、瑞士苏黎世大学、法国巴黎高等商学院、德国慕尼黑大学、日本东京大学等校免学费交流项目；保险学专业课程）,,,591,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,生物科学类,生物科学类（自科试验班，拔尖学生培养基地。含物理学、数据科学与大数据技术、大气科学、材料物理、材料化学、电子科学与技术、化学、能源化学、高分子材料与工程、生物科学、生物技术、生态学、环境科学、心理学、理论与应用力学、飞行器设计与工程、光电信息科学与工程等专业。含英国伯明翰大学、曼彻斯特大学等“2+2”双学位项目；含美国耶鲁大学、加州大学伯克利分校、日本东京大学等校免学费交流项目）,,,590,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,电子信息类,人工智能,,,591,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,计算机类,计算机科学与技术,,,588,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,电子信息类,电子信息类（含电子信息科学与技术、通信工程、微电子科学与工程专业）,,,588,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,理科试验班类,理科试验班类（匡亚明学院大理科班。含化学类）（数学、物理、生物、计算机、天文专业。专业分流方向详见该校招生章程）,,,588,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,计算机类,软件工程（第三、四年学费为16000元/年）,,,587,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,经济管理试验班,经济管理试验班（含经济学、金融学、金融工程、保险学、经济学）（产业经济学方向、工商管理、市场营销、会计学、财务管理、电子商务、工商管理）（人力资源方向、国际经济与贸易专业）,,,586,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,理科试验班,理科试验班（数理科学类。含数学与应用数学、信息与计算科学、统计学、物理学、应用物理学、声学、天文学、空间科学与技术、大气科学、应用气象学专业）,,,586,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,技术科学试验班,技术科学试验班（含数字经济、智能科学与技术）（智能化软件、集成电路专业。在南京、苏州校区就读。智能化软件方向第三、四年学费为16000元/年）,,,585,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,社会科学试验班,社会科学试验班（含法学、编辑出版学、社会学、社会工作、应用心理学、行政管理、劳动与社会保障图书馆学、档案学专业。专业分流方向详见该校招生章程）,,,584,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,外国语言文学类,外国语言文学类（含英语、德语、法语、西班牙语专业）,,,583,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,戏剧与影视学类,戏剧影视文学（高考成绩须达到2023年上海市特殊类型招生控制分数线）,,,577,2023,本科批,,3118,575,0,上海,综合,,,南京大学
,major_line_2023,大气科学类,大气科学（中外合作办学）（在南京、苏州校区就读。可同时获得南京大学本科毕业证书、学士学位证书和芬兰赫尔辛基大学学位证书）（中外合作办学）,,,575,2023,本科批,,3586,572,0,上海,综合,,,南京大学
,major_line_2023,大气科学类,大气科学（中外合作办学）（在南京、苏州校区就读。可同时获得南京大学本科毕业证书、学士学位证书和芬兰赫尔辛基大学学位证书）（中外合作办学）,,,575,2023,本科批,,3586,572,0,上海,综合,,,南京大学
,major_line_2023,戏剧与影视学类,戏剧影视文学（高考成绩须达到2023年上海市特殊类型招生控制分数线）,,,577,2023,本科批,,3118,575,0,上海,综合,,,南京大学
,major_line_2023,经济管理试验班,经济管理试验班（含经济学、金融学、金融工程、保险学、经济学）（产业经济学方向、工商管理、市场营销、会计学、财务管理、电子商务、工商管理）（人力资源方向、国际经济与贸易专业）,,,586,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,社会科学试验班,社会科学试验班（含法学、编辑出版学、社会学、社会工作、应用心理学、行政管理、劳动与社会保障图书馆学、档案学专业。专业分流方向详见该校招生章程）,,,584,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,外国语言文学类,外国语言文学类（含英语、德语、法语、西班牙语专业）,,,583,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,理科试验班类,理科试验班类（匡亚明学院大理科班。含化学类）（数学、物理、生物、计算机、天文专业。专业分流方向详见该校招生章程）,,,588,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,技术科学试验班,技术科学试验班（含数字经济、智能科学与技术）（智能化软件、集成电路专业。在南京、苏州校区就读。智能化软件方向第三、四年学费为16000元/年）,,,585,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,电子信息类,人工智能,,,591,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,计算机类,计算机科学与技术,,,588,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,电子信息类,电子信息类（含电子信息科学与技术、通信工程、微电子科学与工程专业）,,,588,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,计算机类,软件工程（第三、四年学费为16000元/年）,,,587,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,理科试验班,理科试验班（数理科学类。含数学与应用数学、信息与计算科学、统计学、物理学、应用物理学、声学、天文学、空间科学与技术、大气科学、应用气象学专业）,,,586,2023,本科批,,2393,580,0,上海,综合,,,南京大学
,major_line_2023,理科试验班类,理科试验班类（含数学类）（华罗庚数学科技英才班、物理学类）（严济慈物理科技英才班、化学类）（卢嘉锡化学科技英才班、生物科学类）（贝时璋生命科技英才班、空间科学与技术）（赵九章现代地球和空间科技英才班、数学类、物理学类、化学类、材料类、生物科学类、空间科学与技术、行星科学、环境科学与工程类、统计学、金融学、工商管理、管理科学专业）,,,590,2023,本科批,,2393,580,0,上海,综合,,,中国科学技术大学
,major_line_2023,工科试验班,工科试验班（含计算机类）（华夏计算机科技英才班、电子信息类）（信息科技英才班、电子信息类）（网络空间科技英才班、电子信息类）（集成电路科技英才班、力学类）（钱学森力学科技英才班、计算机类、电子信息类、理论与应用力学、机械设计制造及其自动化、能源与动力工程、安全工程、核工程类专业）,,,587,2023,本科批,,2393,580,0,上海,综合,,,中国科学技术大学
,major_line_2023,理科试验班类,理科试验班类（含数学类）（华罗庚数学科技英才班、物理学类）（严济慈物理科技英才班、化学类）（卢嘉锡化学科技英才班、生物科学类）（贝时璋生命科技英才班、空间科学与技术）（赵九章现代地球和空间科技英才班、数学类、物理学类、化学类、材料类、生物科学类、空间科学与技术、行星科学、环境科学与工程类、统计学、金融学、工商管理、管理科学专业）,,,590,2023,本科批,,2393,580,0,上海,综合,,,中国科学技术大学
,major_line_2023,工科试验班,工科试验班（含计算机类）（华夏计算机科技英才班、电子信息类）（信息科技英才班、电子信息类）（网络空间科技英才班、电子信息类）（集成电路科技英才班、力学类）（钱学森力学科技英才班、计算机类、电子信息类、理论与应用力学、机械设计制造及其自动化、能源与动力工程、安全工程、核工程类专业）,,,587,2023,本科批,,2393,580,0,上海,综合,,,中国科学技术大学
,major_line_2023,临床医学类,临床医学,,,581,2023,本科批,,2393,580,0,上海,综合,,,华中科技大学
,major_line_2023,临床医学类,临床医学类（含临床医学、医学影像学、儿科学、口腔医学、麻醉学专业）,,,580,2023,本科批,,2668,578,0,上海,综合,,,华中科技大学
,major_line_2023,电子信息类,人工智能（未来技术学院本硕博）,,,585,2023,本科批,,2393,580,0,上海,综合,,,华中科技大学
,major_line_2023,电子信息类,电子信息类（启明光电信息本硕博实验班。含光电信息科学与工程）（光电子芯片、光通信、智能光电集成系统专业）,,,584,2023,本科批,,2393,580,0,上海,综合,,,华中科技大学
,major_line_2023,计算机类,计算机类（计算机学院。含计算机科学与技术、数据科学与大数据技术、智能科学与技术专业）,,,583,2023,本科批,,2393,580,0,上海,综合,,,华中科技大学
,major_line_2023,计算机类,计算机类（网安学院。含网络空间安全、信息安全、密码科学与技术专业）,,,581,2023,本科批,,2393,580,0,上海,综合,,,华中科技大学
,major_line_2023,电子信息类,电子信息类（光电信息学院。含光电信息科学与工程）（光电子芯片、光通信、智能光电集成系统专业）,,,581,2023,本科批,,2393,580,0,上海,综合,,,华中科技大学
